URL,title,breadcrumb1,breadcrumb2,breadcrumb3,breadcrumb4,PDFname1,PDFname2,PDFname3,PDFname4
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AD%D9%85%D9%88%D8%B6-%D9%88%D9%82%D9%88%D8%A7%D8%B9%D8%AF-%D9%81%D8%B5%D9%84-%D8%A7%D9%88%D9%84,حموض وقواعد فصل اول,الصف الثاني ثانوي,,,,توجيهي علمي,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AF%D9%88%D8%B3%D9%8A%D8%A9-%D8%AA%D9%81%D8%A7%D8%B6%D9%84-%D8%AC%D8%B2%D8%A1-%D9%A2-%D8%B9%D9%84%D9%85%D9%8A-%D9%A2%D9%A0%D9%A1%D9%A8-%D9%86%D8%B3%D8%AE%D8%A9-%D9%85%D9%84%D9%88%D9%86%D8%A9,دوسية تفاضل جزء ٢ علمي ٢٠١٨ نسخة ملونة,الصف الثاني ثانوي,,,,Emailing التفاضل2-1.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%AA%D9%85%D8%A7%D8%B1%D9%8A%D9%86-%D8%AE%D9%81%D9%8A%D9%81%D9%87-%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%AB%D8%A7%D9%84%D8%AB,تمارين خفيفه مستوى ثالث,الصف الثاني ثانوي,,,,11.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%88%D8%B1%D8%A7%D8%AB%D9%87-%D8%A7%D9%84%D9%85%D9%86%D8%AF%D9%84%D9%8A%D9%87-%D8%A7%D9%84%D8%AF%D8%B1%D8%B3-%D8%A7%D9%84%D8%A3%D9%88%D9%84,الوراثه المندليه _ الدرس الأول,الصف الثاني ثانوي,,,,الوراثه المندليه.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D9%86%D8%AD%D9%88-%D9%88%D8%A7%D9%84%D8%B5%D8%B1%D9%81-%D8%A7%D9%84%D9%85%D9%86%D9%87%D8%A7%D8%AC-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF-2001-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A-%D8%A7%D9%84%D8%A3%D9%88%D9%84-%D9%85%D8%AA%D8%B6%D9%85%D9%86%D9%8B%D8%A7-%D8%AD%D9%84,النحو والصرف- المنهاج الجديد 2001- الفصل الدراسي الأول - متضمنًا حل تدريبات الكتاب المقرر,الصف الثاني ثانوي,,,,النحو والصرف - منهاج جديد 3.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D9%82%D8%B6%D8%A7%D9%8A%D8%A7-%D8%A3%D8%AF%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D9%87%D8%A7%D8%AC-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF-2001-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A-%D8%A7%D9%84%D8%A3%D9%88%D9%84-%D9%85%D8%AA%D8%B6%D9%85%D9%86%D9%8B%D8%A7-%D8%AD%D9%84,قضايا أدبية- المنهاج الجديد 2001- الفصل الدراسي الأول - متضمنًا حل تدريبات الكتاب المقرر,الصف الثاني ثانوي,,,,القضايا الأدبية - الفصل الأول- المنهاج الجديد-converted.pdf,,,
https://www.awa2el.net/ar/file/%D8%A7%D9%84%D8%B5%D9%81-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A-%D8%AB%D8%A7%D9%86%D9%88%D9%8A/%D8%AF%D9%88%D8%B3%D9%8A%D8%A7%D8%AA/%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%86%D9%82%D8%AF-%D8%A7%D9%84%D8%A3%D8%AF%D8%A8%D9%8A-2001-%D8%A7%D9%84%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A-%D8%A7%D9%84%D8%A3%D9%88%D9%84-%D8%A8%D8%B9%D8%AF-%D8%A7%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84,البلاغة العربية والنقد الأدبي- 2001- الفصل الدراسي الأول- بعد التعديل,الصف الثاني ثانوي,,,,البلاغة العربية والنقد الأدبي- منهاج جديد -converted.pdf,,,
https://www.awa2el.net/ar/files/%D8%AA%D9%84%D8%AE%D9%8A%D8%B5-%D9%88%D8%AD%D8%AF%D8%A9-%D8%A7%D9%84%D8%AF%D8%A7%D8%A6%D8%B1%D8%A9,تلخيص وحدة الدائرة,,,,,Microsoft Word - دوسية وحدة الدائرة.pdf,,,
https://www.awa2el.net/ar/files/%D8%A7%D9%84%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1-%D9%88%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%AC%D9%87%D8%A9-editing-and-guided-writing-0,,,,,,Writing.docx,,,
https://www.awa2el.net/ar/files/%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%88%D9%89-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB-2017,المستوى الثالث 2017,,,,,المستوى الثالث 2017.pdf,,,
